"Produto/Unidade","Mês/Ano","Preço Médio"
"ABACAXI (un)","01/2018",4.3
"ABACAXI (un)","02/2018",5.5
"ABACAXI (un)","03/2018",5.39
"ABACAXI (un)","04/2018",4.67
"ABACAXI (un)","05/2018",4.59
"ABACAXI (un)","06/2018",4.73
"ABACAXI (un)","07/2018",4.41
"ABACAXI (un)","08/2018",4.47
"ABACAXI (un)","09/2018",4.17
"ABACAXI (un)","10/2018",4.09
"ABACAXI (un)","11/2018",4.18
"ABACAXI (un)","12/2018",5.23
"ABACAXI (un)","01/2019",5.41
"ABACAXI (un)","02/2019",6.21
"AÇÚCAR CRISTAL (30 kg)","01/2018",53.1
"AÇÚCAR CRISTAL (30 kg)","02/2018",50.68
"AÇÚCAR CRISTAL (30 kg)","03/2018",49.75
"AÇÚCAR CRISTAL (30 kg)","04/2018",44.1
"AÇÚCAR CRISTAL (30 kg)","05/2018",49.1
"AÇÚCAR CRISTAL (30 kg)","06/2018",50.56
"AÇÚCAR CRISTAL (30 kg)","07/2018",48.3
"AÇÚCAR CRISTAL (30 kg)","08/2018",48.46
"AÇÚCAR CRISTAL (30 kg)","09/2018",47.25
"AÇÚCAR CRISTAL (30 kg)","10/2018",48.74
"AÇÚCAR CRISTAL (30 kg)","11/2018",50.34
"AÇÚCAR CRISTAL (30 kg)","12/2018",48.6
"AÇÚCAR CRISTAL (30 kg)","01/2019",50.94
"AÇÚCAR CRISTAL (30 kg)","02/2019",49.5
"AÇÚCAR CRISTAL (30 kg)","03/2019",51.42
"AÇÚCAR CRISTAL (30 kg)","04/2019",50.82
"AÇÚCAR CRISTAL (30 kg)","05/2019",51.84
"AÇÚCAR CRISTAL (30 kg)","06/2019",52.32
"AÇÚCAR CRISTAL (30 kg)","07/2019",52.5
"AÇÚCAR CRISTAL (30 kg)","08/2019",52.58
"AÇÚCAR CRISTAL (30 kg)","09/2019",50.46
"AÇÚCAR CRISTAL (30 kg)","10/2019",52.34
"AÇÚCAR CRISTAL (30 kg)","11/2019",51.66
"AÇÚCAR CRISTAL (30 kg)","12/2019",53.49
"AÇÚCAR CRISTAL (30 kg)","01/2020",53.31
"AÇÚCAR CRISTAL (30 kg)","02/2020",54.99
"AÇÚCAR CRISTAL (30 kg)","03/2020",55.62
"AÇÚCAR CRISTAL (30 kg)","04/2020",57.24
"AÇÚCAR CRISTAL (30 kg)","05/2020",61.16
"AÇÚCAR CRISTAL (30 kg)","06/2020",64.88
"AÇÚCAR CRISTAL (30 kg)","07/2020",67.1
"AÇÚCAR CRISTAL (30 kg)","08/2020",67.34
"AÇÚCAR CRISTAL (30 kg)","09/2020",65.94
"AÇÚCAR CRISTAL (30 kg)","10/2020",64.14
"AÇÚCAR CRISTAL (30 kg)","11/2020",66.54
"AÇÚCAR CRISTAL (30 kg)","12/2020",79.78
"AÇÚCAR CRISTAL (30 kg)","01/2021",79
"AÇÚCAR CRISTAL (30 kg)","02/2021",78.99
"AÇÚCAR CRISTAL (30 kg)","03/2021",80.48
"AÇÚCAR CRISTAL (30 kg)","04/2021",81.89
"AÇÚCAR CRISTAL (30 kg)","05/2021",91.25
"AÇÚCAR CRISTAL (30 kg)","06/2021",93.53
"AÇÚCAR CRISTAL (30 kg)","07/2021",94.37
"AÇÚCAR CRISTAL (30 kg)","08/2021",93.77
"AÇÚCAR CRISTAL (30 kg)","09/2021",97.15
"AÇÚCAR CRISTAL (30 kg)","10/2021",104.77
"AÇÚCAR CRISTAL (30 kg)","11/2021",111.11
"AÇÚCAR CRISTAL (30 kg)","12/2021",115.46
"AÇÚCAR CRISTAL (30 kg)","01/2022",116.13
"AÇÚCAR CRISTAL (30 kg)","02/2022",127.17
"AÇÚCAR CRISTAL (30 kg)","03/2022",120.41
"AÇÚCAR CRISTAL (30 kg)","04/2022",114.19
"AÇÚCAR CRISTAL (30 kg)","05/2022",113.02
"AÇÚCAR CRISTAL (30 kg)","06/2022",122.14
"AÇÚCAR CRISTAL (50 kg)","01/2018",61.48
"AÇÚCAR CRISTAL (50 kg)","02/2018",53.09
"AÇÚCAR CRISTAL (50 kg)","03/2018",51.56
"AÇÚCAR CRISTAL (50 kg)","04/2018",54.9
"AÇÚCAR CRISTAL (50 kg)","05/2018",54.48
"AÇÚCAR CRISTAL (50 kg)","06/2018",57.47
"AÇÚCAR CRISTAL (50 kg)","07/2018",55.71
"AÇÚCAR CRISTAL (50 kg)","08/2018",51.28
"AÇÚCAR CRISTAL (50 kg)","09/2018",60.41
"AÇÚCAR CRISTAL (50 kg)","10/2018",64.06
"AÇÚCAR CRISTAL (50 kg)","11/2018",67.62
"AÇÚCAR CRISTAL (50 kg)","12/2018",68.55
"AÇÚCAR CRISTAL (50 kg)","01/2019",68.89
"AÇÚCAR CRISTAL (50 kg)","02/2019",68.12
"AÇÚCAR CRISTAL (50 kg)","03/2019",67.38
"AÇÚCAR CRISTAL (50 kg)","04/2019",68.35
"AÇÚCAR CRISTAL (50 kg)","05/2019",68.96
"AÇÚCAR CRISTAL (50 kg)","06/2019",62.31
"AÇÚCAR CRISTAL (50 kg)","07/2019",59.67
"AÇÚCAR CRISTAL (50 kg)","08/2019",60.19
"AÇÚCAR CRISTAL (50 kg)","09/2019",61.04
"AÇÚCAR CRISTAL (50 kg)","10/2019",64.92
"AÇÚCAR CRISTAL (50 kg)","11/2019",65.43
"AÇÚCAR CRISTAL (50 kg)","12/2019",70.29
"AÇÚCAR CRISTAL (50 kg)","01/2020",74.37
"AÇÚCAR CRISTAL (50 kg)","02/2020",78.57
"AÇÚCAR CRISTAL (50 kg)","03/2020",78.5
"AÇÚCAR CRISTAL (50 kg)","04/2020",77.34
"AÇÚCAR CRISTAL (50 kg)","05/2020",74.72
"AÇÚCAR CRISTAL (50 kg)","06/2020",76.27
"AÇÚCAR CRISTAL (50 kg)","07/2020",77.39
"AÇÚCAR CRISTAL (50 kg)","08/2020",81.01
"AÇÚCAR CRISTAL (50 kg)","09/2020",86.58
"AÇÚCAR CRISTAL (50 kg)","10/2020",93.25
"AÇÚCAR CRISTAL (50 kg)","11/2020",105.59
"AÇÚCAR CRISTAL (50 kg)","12/2020",110.23
"ÁLCOOL ANIDRO (l)","01/2018",1.94
"ÁLCOOL ANIDRO (l)","02/2018",1.95
"ÁLCOOL ANIDRO (l)","03/2018",1.94
"ÁLCOOL ANIDRO (l)","04/2018",1.79
"ÁLCOOL ANIDRO (l)","05/2018",1.69
"ÁLCOOL ANIDRO (l)","06/2018",1.83
"ÁLCOOL ANIDRO (l)","07/2018",1.68
"ÁLCOOL ANIDRO (l)","08/2018",1.59
"ÁLCOOL ANIDRO (l)","09/2018",1.79
"ÁLCOOL ANIDRO (l)","10/2018",1.95
"ÁLCOOL ANIDRO (l)","11/2018",1.89
"ÁLCOOL ANIDRO (l)","12/2018",1.81
"ÁLCOOL ANIDRO (l)","01/2019",1.8
"ÁLCOOL ANIDRO (l)","02/2019",1.76
"ÁLCOOL ANIDRO (l)","03/2019",1.89
"ÁLCOOL ANIDRO (l)","04/2019",1.93
"ÁLCOOL ANIDRO (l)","05/2019",1.96
"ÁLCOOL ANIDRO (l)","06/2019",1.86
"ÁLCOOL ANIDRO (l)","07/2019",1.85
"ÁLCOOL ANIDRO (l)","08/2019",1.93
"ÁLCOOL ANIDRO (l)","09/2019",1.88
"ÁLCOOL ANIDRO (l)","10/2019",1.96
"ÁLCOOL ANIDRO (l)","11/2019",2.07
"ÁLCOOL ANIDRO (l)","12/2019",2.17
"ÁLCOOL ANIDRO (l)","01/2020",2.24
"ÁLCOOL ANIDRO (l)","02/2020",2.27
"ÁLCOOL ANIDRO (l)","03/2020",2.18
"ÁLCOOL ANIDRO (l)","04/2020",1.63
"ÁLCOOL ANIDRO (l)","05/2020",1.54
"ÁLCOOL ANIDRO (l)","06/2020",1.8
"ÁLCOOL ANIDRO (l)","07/2020",1.85
"ÁLCOOL ANIDRO (l)","08/2020",1.92
"ÁLCOOL ANIDRO (l)","09/2020",2.08
"ÁLCOOL ANIDRO (l)","10/2020",2.26
"ÁLCOOL ANIDRO (l)","11/2020",2.42
"ÁLCOOL ANIDRO (l)","12/2020",2.41
"ÁLCOOL ANIDRO (l)","01/2021",2.41
"ÁLCOOL ANIDRO (l)","02/2021",2.53
"ÁLCOOL ANIDRO (l)","03/2021",2.97
"ÁLCOOL ANIDRO (l)","04/2021",2.74
"ÁLCOOL ANIDRO (l)","05/2021",3.31
"ÁLCOOL ANIDRO (l)","06/2021",3.39
"ÁLCOOL ANIDRO (l)","07/2021",3.33
"ÁLCOOL ANIDRO (l)","08/2021",3.56
"ÁLCOOL ANIDRO (l)","09/2021",3.81
"ÁLCOOL ANIDRO (l)","10/2021",3.91
"ÁLCOOL ANIDRO (l)","11/2021",4.42
"ÁLCOOL ANIDRO (l)","12/2021",3.92
"ÁLCOOL ANIDRO (l)","01/2022",3.83
"ÁLCOOL ANIDRO (l)","02/2022",3.38
"ÁLCOOL ANIDRO (l)","03/2022",3.43
"ÁLCOOL ANIDRO (l)","04/2022",4.02
"ÁLCOOL ANIDRO (l)","05/2022",3.93
"ÁLCOOL ANIDRO (l)","06/2022",3.61
"ÁLCOOL HIDRATADO (l)","01/2018",1.83
"ÁLCOOL HIDRATADO (l)","02/2018",1.85
"ÁLCOOL HIDRATADO (l)","03/2018",1.88
"ÁLCOOL HIDRATADO (l)","04/2018",1.62
"ÁLCOOL HIDRATADO (l)","05/2018",1.54
"ÁLCOOL HIDRATADO (l)","06/2018",1.64
"ÁLCOOL HIDRATADO (l)","07/2018",1.48
"ÁLCOOL HIDRATADO (l)","08/2018",1.41
"ÁLCOOL HIDRATADO (l)","09/2018",1.66
"ÁLCOOL HIDRATADO (l)","10/2018",1.78
"ÁLCOOL HIDRATADO (l)","11/2018",1.68
"ÁLCOOL HIDRATADO (l)","12/2018",1.66
"ÁLCOOL HIDRATADO (l)","01/2019",1.63
"ÁLCOOL HIDRATADO (l)","02/2019",1.64
"ÁLCOOL HIDRATADO (l)","03/2019",1.84
"ÁLCOOL HIDRATADO (l)","04/2019",1.68
"ÁLCOOL HIDRATADO (l)","05/2019",1.68
"ÁLCOOL HIDRATADO (l)","06/2019",1.62
"ÁLCOOL HIDRATADO (l)","07/2019",1.65
"ÁLCOOL HIDRATADO (l)","08/2019",1.73
"ÁLCOOL HIDRATADO (l)","09/2019",1.7
"ÁLCOOL HIDRATADO (l)","10/2019",1.79
"ÁLCOOL HIDRATADO (l)","11/2019",1.88
"ÁLCOOL HIDRATADO (l)","12/2019",1.99
"ÁLCOOL HIDRATADO (l)","01/2020",2.05
"ÁLCOOL HIDRATADO (l)","02/2020",2.11
"ÁLCOOL HIDRATADO (l)","03/2020",1.96
"ÁLCOOL HIDRATADO (l)","04/2020",1.39
"ÁLCOOL HIDRATADO (l)","05/2020",1.38
"ÁLCOOL HIDRATADO (l)","06/2020",1.62
"ÁLCOOL HIDRATADO (l)","07/2020",1.62
"ÁLCOOL HIDRATADO (l)","08/2020",1.69
"ÁLCOOL HIDRATADO (l)","09/2020",1.79
"ÁLCOOL HIDRATADO (l)","10/2020",1.94
"ÁLCOOL HIDRATADO (l)","11/2020",2.06
"ÁLCOOL HIDRATADO (l)","12/2020",2.05
"ÁLCOOL HIDRATADO (l)","01/2021",2.07
"ÁLCOOL HIDRATADO (l)","02/2021",2.26
"ÁLCOOL HIDRATADO (l)","03/2021",2.75
"ÁLCOOL HIDRATADO (l)","04/2021",2.47
"ÁLCOOL HIDRATADO (l)","05/2021",2.89
"ÁLCOOL HIDRATADO (l)","06/2021",2.92
"ÁLCOOL HIDRATADO (l)","07/2021",2.9
"ÁLCOOL HIDRATADO (l)","08/2021",3.08
"ÁLCOOL HIDRATADO (l)","09/2021",3.24
"ÁLCOOL HIDRATADO (l)","10/2021",3.4
"ÁLCOOL HIDRATADO (l)","11/2021",3.8
"ÁLCOOL HIDRATADO (l)","12/2021",3.39
"ÁLCOOL HIDRATADO (l)","01/2022",3.34
"ÁLCOOL HIDRATADO (l)","02/2022",2.94
"ÁLCOOL HIDRATADO (l)","03/2022",3.11
"ÁLCOOL HIDRATADO (l)","04/2022",3.64
"ÁLCOOL HIDRATADO (l)","05/2022",3.38
"ÁLCOOL HIDRATADO (l)","06/2022",3.09
"ÁLCOOL OUTROS FINS (l)","01/2018",1.82
"ÁLCOOL OUTROS FINS (l)","02/2018",1.87
"ÁLCOOL OUTROS FINS (l)","03/2018",1.87
"ÁLCOOL OUTROS FINS (l)","04/2018",1.66
"ÁLCOOL OUTROS FINS (l)","05/2018",1.56
"ÁLCOOL OUTROS FINS (l)","06/2018",1.67
"ÁLCOOL OUTROS FINS (l)","07/2018",1.49
"ÁLCOOL OUTROS FINS (l)","08/2018",1.43
"ÁLCOOL OUTROS FINS (l)","09/2018",1.65
"ÁLCOOL OUTROS FINS (l)","10/2018",1.8
"ÁLCOOL OUTROS FINS (l)","11/2018",1.72
"ÁLCOOL OUTROS FINS (l)","12/2018",1.69
"ÁLCOOL OUTROS FINS (l)","01/2019",1.66
"ÁLCOOL OUTROS FINS (l)","02/2019",1.64
"ÁLCOOL OUTROS FINS (l)","03/2019",1.86
"ÁLCOOL OUTROS FINS (l)","04/2019",1.79
"ÁLCOOL OUTROS FINS (l)","05/2019",1.71
"ÁLCOOL OUTROS FINS (l)","06/2019",1.66
"ÁLCOOL OUTROS FINS (l)","07/2019",1.67
"ÁLCOOL OUTROS FINS (l)","08/2019",1.76
"ÁLCOOL OUTROS FINS (l)","09/2019",1.74
"ÁLCOOL OUTROS FINS (l)","10/2019",1.8
"ÁLCOOL OUTROS FINS (l)","11/2019",1.89
"ÁLCOOL OUTROS FINS (l)","12/2019",2
"ÁLCOOL OUTROS FINS (l)","01/2020",2.08
"ÁLCOOL OUTROS FINS (l)","02/2020",2.15
"ÁLCOOL OUTROS FINS (l)","03/2020",2.07
"ÁLCOOL OUTROS FINS (l)","04/2020",1.54
"ÁLCOOL OUTROS FINS (l)","05/2020",1.45
"ÁLCOOL OUTROS FINS (l)","06/2020",1.64
"ÁLCOOL OUTROS FINS (l)","07/2020",1.64
"ÁLCOOL OUTROS FINS (l)","08/2020",1.71
"ÁLCOOL OUTROS FINS (l)","09/2020",1.85
"ÁLCOOL OUTROS FINS (l)","10/2020",1.96
"ÁLCOOL OUTROS FINS (l)","11/2020",2.09
"ÁLCOOL OUTROS FINS (l)","12/2020",2.1
"ÁLCOOL OUTROS FINS (l)","01/2021",2.12
"ÁLCOOL OUTROS FINS (l)","02/2021",2.27
"ÁLCOOL OUTROS FINS (l)","03/2021",2.83
"ÁLCOOL OUTROS FINS (l)","04/2021",2.51
"ÁLCOOL OUTROS FINS (l)","05/2021",2.95
"ÁLCOOL OUTROS FINS (l)","06/2021",3.01
"ÁLCOOL OUTROS FINS (l)","07/2021",2.98
"ÁLCOOL OUTROS FINS (l)","08/2021",3.14
"ÁLCOOL OUTROS FINS (l)","09/2021",3.3
"ÁLCOOL OUTROS FINS (l)","10/2021",3.43
"ÁLCOOL OUTROS FINS (l)","11/2021",3.57
"ÁLCOOL OUTROS FINS (l)","12/2021",3.49
"ÁLCOOL OUTROS FINS (l)","01/2022",3.41
"ÁLCOOL OUTROS FINS (l)","02/2022",3.04
"ÁLCOOL OUTROS FINS (l)","03/2022",3.23
"ÁLCOOL OUTROS FINS (l)","04/2022",3.76
"ÁLCOOL OUTROS FINS (l)","05/2022",3.54
"ÁLCOOL OUTROS FINS (l)","06/2022",3.21
"ALHO (kg)","01/2018",13.12
"ALHO (kg)","02/2018",13.05
"ALHO (kg)","03/2018",14.34
"ALHO (kg)","04/2018",13.82
"ALHO (kg)","05/2018",15.63
"ALHO (kg)","06/2018",18.69
"ALHO (kg)","07/2018",15.08
"ALHO (kg)","08/2018",12.4
"ALHO (kg)","09/2018",13
"ALHO (kg)","10/2018",13.03
"ALHO (kg)","11/2018",12.27
"ALHO (kg)","12/2018",13.2
"ALHO (kg)","01/2019",13.19
"ALHO (kg)","02/2019",13.52
"ARROZ BENEFICIADO (A) PARBOILIZADO LONGO FINO (30 kg)","01/2018",71.1
"ARROZ BENEFICIADO (A) PARBOILIZADO LONGO FINO (30 kg)","02/2018",76.34
"ARROZ BENEFICIADO (A) PARBOILIZADO LONGO FINO (30 kg)","03/2018",79.7
"ARROZ BENEFICIADO (A) PARBOILIZADO LONGO FINO (30 kg)","04/2018",69.86
"ARROZ BENEFICIADO (A) PARBOILIZADO LONGO FINO (30 kg)","05/2018",77.72
"ARROZ BENEFICIADO (A) PARBOILIZADO LONGO FINO (30 kg)","06/2018",71.06
"ARROZ BENEFICIADO (A) PARBOILIZADO LONGO FINO (30 kg)","07/2018",76.31
"ARROZ BENEFICIADO (A) PARBOILIZADO LONGO FINO (30 kg)","08/2018",83.06
"ARROZ BENEFICIADO (A) PARBOILIZADO LONGO FINO (30 kg)","09/2018",75.7
"ARROZ BENEFICIADO (A) PARBOILIZADO LONGO FINO (30 kg)","10/2018",77.71
"ARROZ BENEFICIADO (A) PARBOILIZADO LONGO FINO (30 kg)","11/2018",74.72
"ARROZ BENEFICIADO (A) PARBOILIZADO LONGO FINO (30 kg)","12/2018",76.8
"ARROZ BENEFICIADO (A) PARBOILIZADO LONGO FINO (30 kg)","01/2019",89.06
"ARROZ BENEFICIADO (A) PARBOILIZADO LONGO FINO (30 kg)","02/2019",82.98
"ARROZ BENEFICIADO (A) PARBOILIZADO LONGO FINO (30 kg)","03/2019",79.68
"ARROZ BENEFICIADO (A) PARBOILIZADO LONGO FINO (30 kg)","04/2019",80.31
"ARROZ BENEFICIADO (A) PARBOILIZADO LONGO FINO (30 kg)","05/2019",81.72
"ARROZ BENEFICIADO (A) PARBOILIZADO LONGO FINO (30 kg)","06/2019",86.82
"ARROZ BENEFICIADO (A) PARBOILIZADO LONGO FINO (30 kg)","07/2019",86.82
"ARROZ BENEFICIADO (A) PARBOILIZADO LONGO FINO (30 kg)","08/2019",81.78
"ARROZ BENEFICIADO (A) PARBOILIZADO LONGO FINO (30 kg)","09/2019",85.86
"ARROZ BENEFICIADO (A) PARBOILIZADO LONGO FINO (30 kg)","10/2019",78.76
"ARROZ BENEFICIADO (A) PARBOILIZADO LONGO FINO (30 kg)","11/2019",74.02
"ARROZ BENEFICIADO (A) PARBOILIZADO LONGO FINO (30 kg)","12/2019",81.38
"ARROZ BENEFICIADO (A) PARBOILIZADO LONGO FINO (30 kg)","01/2020",78.84
"ARROZ BENEFICIADO (A) PARBOILIZADO LONGO FINO (30 kg)","02/2020",86.22
"ARROZ BENEFICIADO (A) PARBOILIZADO LONGO FINO (30 kg)","03/2020",90
"ARROZ BENEFICIADO (A) PARBOILIZADO LONGO FINO (30 kg)","04/2020",81.67
"ARROZ BENEFICIADO (A) PARBOILIZADO LONGO FINO (30 kg)","05/2020",90.45
"ARROZ BENEFICIADO (A) PARBOILIZADO LONGO FINO (30 kg)","06/2020",106.3
"ARROZ BENEFICIADO (A) PARBOILIZADO LONGO FINO (30 kg)","07/2020",100.25
"ARROZ BENEFICIADO (A) PARBOILIZADO LONGO FINO (30 kg)","08/2020",109.92
"ARROZ BENEFICIADO (A) PARBOILIZADO LONGO FINO (30 kg)","09/2020",116.67
"ARROZ BENEFICIADO (A) PARBOILIZADO LONGO FINO (30 kg)","10/2020",165.45
"ARROZ BENEFICIADO (A) PARBOILIZADO LONGO FINO (30 kg)","11/2020",161.67
"ARROZ BENEFICIADO (A) PARBOILIZADO LONGO FINO (30 kg)","12/2020",142.49
"ARROZ BENEFICIADO (A) PARBOILIZADO LONGO FINO (30 kg)","01/2021",145.33
"ARROZ BENEFICIADO (A) PARBOILIZADO LONGO FINO (30 kg)","02/2021",137.7
"ARROZ BENEFICIADO (A) PARBOILIZADO LONGO FINO (30 kg)","03/2021",138.33
"ARROZ BENEFICIADO (A) PARBOILIZADO LONGO FINO (30 kg)","04/2021",143.78
"ARROZ BENEFICIADO (A) PARBOILIZADO LONGO FINO (30 kg)","05/2021",138.78
"ARROZ BENEFICIADO (A) PARBOILIZADO LONGO FINO (30 kg)","06/2021",127.52
"ARROZ BENEFICIADO (A) PARBOILIZADO LONGO FINO (30 kg)","07/2021",128.57
"ARROZ BENEFICIADO (A) PARBOILIZADO LONGO FINO (30 kg)","08/2021",129.18
"ARROZ BENEFICIADO (A) PARBOILIZADO LONGO FINO (30 kg)","09/2021",131.24
"ARROZ BENEFICIADO (A) PARBOILIZADO LONGO FINO (30 kg)","10/2021",129.97
"ARROZ BENEFICIADO (A) PARBOILIZADO LONGO FINO (30 kg)","11/2021",122.84
"ARROZ BENEFICIADO (A) PARBOILIZADO LONGO FINO (30 kg)","12/2021",116.57
"ARROZ BENEFICIADO (A) PARBOILIZADO LONGO FINO (30 kg)","01/2022",116.34
"ARROZ BENEFICIADO (A) PARBOILIZADO LONGO FINO (30 kg)","02/2022",117.93
"ARROZ BENEFICIADO (A) PARBOILIZADO LONGO FINO (30 kg)","03/2022",120.47
"ARROZ BENEFICIADO (A) PARBOILIZADO LONGO FINO (30 kg)","04/2022",121.53
"ARROZ BENEFICIADO (A) PARBOILIZADO LONGO FINO (30 kg)","05/2022",121.1
"ARROZ BENEFICIADO (A) PARBOILIZADO LONGO FINO (30 kg)","06/2022",122.25
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (30 kg)","01/2018",83.14
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (30 kg)","02/2018",72.16
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (30 kg)","03/2018",75.5
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (30 kg)","04/2018",80.26
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (30 kg)","05/2018",77.44
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (30 kg)","06/2018",75.68
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (30 kg)","07/2018",79.16
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (30 kg)","08/2018",87.92
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (30 kg)","09/2018",88.98
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (30 kg)","10/2018",89.21
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (30 kg)","11/2018",85.86
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (30 kg)","12/2018",82.72
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (30 kg)","01/2019",82.74
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (30 kg)","02/2019",82.74
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (30 kg)","03/2019",81.88
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (30 kg)","04/2019",82.12
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (30 kg)","05/2019",88.66
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (30 kg)","06/2019",92.46
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (30 kg)","07/2019",95.82
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (30 kg)","08/2019",83.94
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (30 kg)","09/2019",89.72
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (30 kg)","10/2019",81.97
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (30 kg)","11/2019",81.32
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (30 kg)","12/2019",85.56
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (30 kg)","01/2020",89.06
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (30 kg)","02/2020",90.24
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (30 kg)","03/2020",95.34
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (30 kg)","04/2020",97.28
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (30 kg)","05/2020",111.56
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (30 kg)","06/2020",108.52
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (30 kg)","07/2020",108.28
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (30 kg)","08/2020",118.72
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (30 kg)","09/2020",133.7
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (30 kg)","10/2020",170.4
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (30 kg)","11/2020",163.96
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (30 kg)","12/2020",140.72
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (30 kg)","01/2021",133.53
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (30 kg)","02/2021",131.79
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (30 kg)","03/2021",127.77
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (30 kg)","04/2021",127.39
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (30 kg)","05/2021",129.61
"ARROZ LONGO FINO BENEFICIADO TIPO 1 (30 kg)","06/2021",129.43
